County,Voted for:
Anderson,Cruz
Andrews,Cruz
Angelina,Cruz
Aransas,Cruz
Archer,Cruz
Armstrong,Cruz
Atascosa,Cruz
Austin,Cruz
Bailey,Cruz
Bandera,Cruz
Bastrop,Cruz
Baylor,Cruz
Bee,Cruz
Bell,Cruz
Bexar,Beto 
Blanco,Cruz
Borden,Cruz
Bosque,Cruz
Bowie,Cruz
Brazoria,Cruz
Brazos,Cruz
Brewster,Beto 
Briscoe,Cruz
Brooks,Beto 
Brown,Cruz
Burleson,Cruz
Burnet,Cruz
Caldwell,Cruz
Calhoun,Cruz
Callahan,Cruz
Cameron,Beto 
Camp,Cruz
Carson,Cruz
Cass,Cruz
Castro,Cruz
Chambers,Cruz
Cherokee,Cruz
Childress,Cruz
Clay,Cruz
Cochran,Cruz
Coke,Cruz
Coleman,Cruz
Collin,Cruz
Collingsworth,Cruz
Colorado,Cruz
Comal,Cruz
Comanche,Cruz
Concho,Cruz
Cooke,Cruz
Coryell,Cruz
Cottle,Cruz
Crane,Cruz
Crockett,Cruz
Crosby,Cruz
Culberson,Beto 
Dallam,Cruz
Dallas,Beto 
Dawson,Cruz
Deaf Smith,Cruz
Delta,Cruz
Denton,Cruz
DeWitt,Cruz 
Dickens,Cruz
Dimmit,Beto 
Donley,Cruz
Duval,Beto 
Eastland,Cruz
Ector,Cruz
Edwards,Cruz
El Paso,Beto 
Ellis,Cruz
Erath,Cruz
Falls,Cruz
Fannin,Cruz
Fayette,Cruz
Fisher,Cruz
Floyd,Cruz
Foard,Cruz
Fort Bend,Beto 
Franklin,Cruz
Freestone,Cruz
Frio,Beto 
Gaines,Cruz
Galveston,Cruz
Garza,Cruz
Gillespie,Cruz
Glasscock,Cruz
Goliad,Cruz
Gonzales,Cruz
Gray,Cruz
Grayson,Cruz
Gregg,Cruz
Grimes,Cruz
Guadalupe,Cruz
Hale,Cruz
Hall,Cruz
Hamilton,Cruz
Hansford,Cruz
Hardeman,Cruz
Hardin,Cruz
Harris,Beto 
Harrison,Cruz
Hartley,Cruz
Haskell,Cruz
Hays,Beto 
Hemphill,Cruz
Henderson,Cruz
Hidalgo,Beto 
Hill,Cruz
Hockley,Cruz
Hood,Cruz
Hopkins,Cruz
Houston,Cruz
Howard,Cruz
Hudspeth,Cruz
Hunt,Cruz
Hutchinson,Cruz
Irion,Cruz
Jack,Cruz
Jackson,Cruz
Jasper,Cruz
Jeff Davis,Cruz
Jefferson,Beto 
Jim Hogg,Beto 
Jim Wells,Beto 
Johnson,Cruz
Jones,Cruz
Karnes,Cruz
Kaufman,Cruz
Kendall,Cruz
Kenedy,Cruz
Kent,Cruz
Kerr,Cruz
Kimble,Cruz
King,Cruz
Kinney,Cruz
Kleberg,Beto 
Knox,Cruz
La Salle,Beto 
Lamar,Cruz
Lamb,Cruz
Lampasas,Cruz
Lavaca,Cruz
Lee,Cruz
Leon,Cruz
Liberty,Cruz
Limestone,Cruz
Lipscomb,Cruz
Live Oak,Cruz
Llano,Cruz
Loving,Cruz
Lubbock,Cruz
Lynn,Cruz
Madison,Cruz
Marion,Cruz
Martin,Cruz
Mason,Cruz
Matagorda,Cruz
Maverick,Cruz
McCulloch,Cruz
McLennan,Cruz
McMullen,Cruz
Medina,Cruz
Menard,Cruz
Midland,Cruz
Milam,Cruz
Mills,Cruz
Mitchell,Cruz
Montague,Cruz
Montgomery,Cruz
Moore,Cruz
Morris,Cruz
Motley,Cruz
Nacogdoches,Cruz
Navarro,Cruz
Newton,Cruz
Nolan,Cruz
Nueces,Beto 
Ochiltree,Cruz
Oldham,Cruz
Orange,Cruz
Palo Pinto,Cruz
Panola,Cruz
Parker,Cruz
Parmer,Cruz
Pecos,Cruz
Polk,Cruz
Potter,Cruz
Presidio,Beto 
Rains,Cruz
Randall,Cruz
Reagan,Cruz
Real,Cruz
Red River,Cruz
Reeves,Beto 
Refugio,Cruz
Roberts,Cruz
Robertson,Cruz
Rockwall,Cruz
Runnels,Cruz
Rusk,Cruz
Sabine,Cruz
San Augustine,Cruz
San Jacinto,Cruz
San Patricio,Cruz
San Saba,Cruz
Schleicher,Cruz
Scurry,Cruz
Shackelford,Cruz
Shelby,Cruz
Sherman,Cruz
Smith,Cruz
Somervell,Cruz
Starr,Beto 
Stephens,Cruz
Sterling,Cruz
Stonewall,Cruz
Sutton,Cruz
Swisher,Cruz
Tarrant,Beto 
Taylor,Cruz
Terrell,Cruz
Terry,Cruz
Throckmorton,Cruz
Titus,Cruz
Tom Green,Cruz
Travis,Beto 
Trinity,Cruz
Tyler,Cruz
Upshur,Cruz
Upton,Cruz
Uvalde,Cruz
Val Verde,Beto 
Van Zandt,Cruz
Victoria,Cruz
Walker,Cruz
Waller,Cruz
Ward,Cruz
Washington,Cruz
Webb,Beto 
Wharton,Cruz
Wheeler,Cruz
Wichita,Cruz
Wilbarger,Cruz
Willacy,Beto 
Williamson,Beto 
Wilson,Cruz
Winkler,Cruz
Wise,Cruz
Wood,Cruz
Yoakum,Cruz
Young,Cruz
Zapata,Beto 
Zavala,Beto 
